2026-05-30 20:53:58,352 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_pedido', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,352 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'id_produto', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,352 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'quantidade', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,352 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("motorista")
2026-05-30 20:53:58,352 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,353 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,353 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_motorista', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,353 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0)
2026-05-30 20:53:58,353 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'cnh', 'VARCHAR(11)', 1, None, 0)
2026-05-30 20:53:58,354 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("pedido")
2026-05-30 20:53:58,354 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,355 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,355 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_pedido', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,355 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_cliente', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,355 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'data_pedido', 'DATETIME', 1, None, 0)
2026-05-30 20:53:58,355 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("produto")
2026-05-30 20:53:58,356 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,356 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,357 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_produto', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,357 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0)
2026-05-30 20:53:58,357 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'preco_unitario', 'NUMERIC(10, 2)', 1, None, 0)
2026-05-30 20:53:58,357 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'id_categoria', 'INTEGER', 1, None, 0)
2026-05-30 20:53:58,357 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_info("veiculo")
